00001,هل التطبيق الصيني المعروف باسم
00002,تيكتوك
00003,هو أخطر تطبيق في العالم 
00004,السؤال دا مهم جداً ولازم كلنا نفكر فيه
00005,وهو في الحقيقة شاغل بال ناس كتير
00006,وبالأخص صناع القرار في الولايات المتحدة
00007,واللي بيعتبروا التطبيق دا أخطر حاجة اخترعتها
00008,الصين على الإطلاق
00009,البنتاغون طلبت من أفراد الجيش الأمريكي
00010,إنهم يحذفوا بسرعة تطبيق التيكتوك
00011,من على هواتفهم الشخصية
00012,شركة أمازون طلبت من الموظفين بتوعها
00013,إنهم يحذفوا التيكتوك من على تلفوناتهم
00014,ودا نفس اللي عمله البنك الأمريكي الشهير
00015,ويلز فارغو
00016,اللي طلب من الموظفين بتوعه إنهم يحذفوا
00017,التيكتوك
00018,وعلى المستوى السياسي التطبيق دا عامل
00019,حالة من الرعب في واشنطن وتسبب في
00020,خناقات ومناوشات كتير بين الساسة وصناع
00021,القرار في واشنطن
00022,باختصار بعضهم شايف إن الحل هو إجبار
00023,الصين على بيع التطبيق دا لأمريكا
00024,في حين إن ناس تانية منهم شايفة إن الصين
00025,مش هتبيعه والحل الصح هو حظر التيكتوك
00026,تماماً وتفكيكه ومهاجمته بطريقة أشرس
00027,من الطريقة اللي تم بيها مهاجمة
00028,هواوي الصينية
00029,ودا يخلينا نسأل سؤال منطقي جداً
00030,ليه كل دا 
00031,التيكتوك اللي معظم محتواه أغاني ورقص
00032,عامل القلق دا كله إزاي 
00033,ليه الأمريكان خايفين للدرجة دي من التطبيق
00034,اللي ناس كتير شايفاه تافه 
00035,وهنا خليني أقول لك إن في الحقيقة مش
00036,الأمريكان لوحدهم هم اللي قلقانين
00037,من التيكتوك 
00038,دول أوروبية كتير قلقانة من التطبيق دا
00039,وفي آسيا الهند اللي كانت أكبر مستخدم
00040,للتطبيق في العالم حظرته
00041,وفي أستراليا فيه دعوات بتطالب
00042,الحكومة إنها تقفله
00043,والشيء المشترك بين الدول دي كلها هي
00044,إنها قلقانة على خصوصية البيانات بتاعت
00045,مواطنيها اللي بيستخدموا التطبيق دا
00046,واللي فيه شكوك كبيرة إن الشركة الصينية
00047,اللي بتمتلك التطبيق بتسمح للحكومة
00048,والاستخبارات الصينية بالاطلاع عليها
00049,بوضوح كدا ومن الآخر التيكتوك
00050,متهم بأنه أداة تجسس تابعة للحزب
00051,الشيوعي الصيني
00052,هل الكلام دا صحيح 
00053,يعني هل فيه دلائل على إن الصين وتحديداً
