audio_file,text,gender
IIqfET_1.wav,ازيكم يا جماعه عاملين ايه يا رب تكونوا,female
jGqkHh_2.wav,بخير وصحه وسعاده وهنا وكل حاجه حلوه طبعا,female
NE6jEu_3.wav,يا جماعه شايفيني بالعبايه وبالقران دي,female
Dmkv3J_4.wav,اعرفوا على طول ان انا كنت في السوق ولسه,female
H4s1qn_5.wav,طالعه فال المهم يا جماعه ان انا جايه,female
uhb20b_6.wav,النهارده عشان اوريكم انا جبت ايه من,female
XngP37_7.wav,السوق لزوم العزومه يا جماعه اللي خلاص,female
Pb9v3F_8.wav,على الابواب ف وهر يا جماعه خلاص عشان,female
bqErd0_9.wav,خاطر يعني هتبقى ضغط قوي عليا وما شاء,female
JwYmN8_10.wav,الله هيبقوا كتير اخواتي كلهم ما شاء الله,female
gp7dhx_11.wav,وجازهم واولادهم وكمان مامه منير ومامتي,female
QUOtWP_12.wav,وبابايا مامتي ومامه منير وبابايا مش,female
6qXm2F_13.wav,هيجوا بس احنا طبعا هنبعت لهم الاكل على,female
SgslXL_14.wav,البيت لان احنا مش هنقدر ان احنا ناكل,female
0Zopo0_15.wav,الاكله دي يا جماعه من غير ما يشاركونا,female
7HkP9g_16.wav,يعني فالمهم يا جماعه ان دلوقتي هوريكم,female
SdQJ0G_17.wav,انا جبت ايه من السوق وطبعا انا في حاجات,female
ojugLg_18.wav,مش مجمعها مش عارفه هعمل ايه بالظبط بس,female
xnIeVS_19.wav,جبت مثلا يعني حاجات اساسيه ان انا ممكن,female
oUakTG_20.wav,احتاجها وبعد كده هنكرر فانتوا كرروا,female
WHRBNC_21.wav,معايا في الكومنتات وقولو لي يا اميره,female
Yq1wZn_22.wav,ممكن تعملي كذا وممكن تعملي كذا بالحاجات,female
cMqw6t_23.wav,اللي انا جبتها وساعدوني يعني ف ام بس كده,female
YexOQQ_24.wav,يا جماعه دي اكبر مناسبه يعتبر اكبر عزومه,female
sU04Dm_25.wav,قصدي يعتبر عملتها في البيت واكبر عزوم,female
ehRMwh_26.wav,عملتها في حياتي كلها وفي عمري كله,female
OrR4Zr_27.wav,واخواتي طبعا الموضوع هيبقى غريب بالنسبه,female
N0VMC3_28.wav,لهم لان انا عمري ما عملت لهم اكل في,female
t9bIK2_29.wav,البيت ك اخري مكرونه و وبانيه ما كنتش,female
WjMm5r_30.wav,بعمل غير مثلا اكل ومير جاي كنت بعمل على,female
JK03Y5_31.wav,قد انا منير بس يعني مش عارفه ليه الرخامه,female
CXpNma_32.wav,دي المهم يا جماعه ان دلوقتي يعتبر دي اول,female
LCCnlt_33.wav,مره اخواتي وجوازات واولادهم ياكلوا من,female
ZfpyeX_34.wav,ايدي فادعوا لي ان بجد اليوم يطلع زي ما,female
Olp3v2_35.wav,انا بتمنى وزي ما انا بتخيل كده يا رب يا,female
gcLbX4_36.wav,رب شجعوني كتير في الكومنتات يا جماعه,female
mAHsdY_37.wav,هسيب لكم لينك الانستجرام بتاعي والتيك,female
i9Fdg5_38.wav,توك وكمان القناه بتاعتي انا ومنير تحت,female
NjdBIO_39.wav,عشان خاطر هيكون فيها فيديوهات برده وان,female
